filing_id,company_id,fiscal_year,fiscal_quarter,period_end_date,filed_at,is_amendment,source_name
F001,C001,2024,4,2024-12-31,2025-02-10T09:15:00,0,sec_feed_a
F002,C001,2025,1,2025/03/31,2025-05-11T08:00:00,0,sec_feed_a
F003,C001,2025,2,06-30-2025,2025-08-09T14:30:00,0,vendor_x
F004,C001,2025,2,2025-06-30,2025-08-20T11:05:00,1,vendor_x
F005,C002,2024,4,2024-12-31,2025-02-13T10:45:00,0,sec_feed_a
F006,C002,2025,1,2025-03-31,2025-05-15T16:20:00,0,sec_feed_a
F007,C002,2025,2,2025-06-30,2025-08-14T09:40:00,0,vendor_y
F008,C003,2024,4,12/31/2024,2025-02-09T07:55:00,0,sec_feed_b
F009,C003,2025,1,2025-03-31,2025-05-08T12:00:00,0,sec_feed_b
F010,C003,2025,2,2025-06-30,2025-08-12T13:10:00,0,vendor_x
F011,C004,2024,4,2024-12-31,2025-02-11T15:25:00,0,sec_feed_a
F012,C004,2025,1,2025-03-31,2025-05-12T09:05:00,0,vendor_y
F013,C005,2024,4,2024-12-31,2025-02-15T17:50:00,0,sec_feed_b
F014,C005,2025,1,2025-03-31,2025-05-16T10:00:00,0,sec_feed_b
F015,C005,2025,2,2025-06-30,2025-08-18T11:45:00,0,vendor_x
